X,Y
867,856.1
870.1,851.1
872,847
875.3,848.6
874.1,852.2
874.6,856.7
882.6,855.2
882.2,854.1
887.6,851.7
892.3,857.4
894.2,857.3
895.5,864.3
893.5,866.9
889.8,865.2
891.1,874.5
886.2,868.2
885.9,866.5
884.2,864.9
883.9,863.5
882.5,862.5
880.4,860.7
881.3,859.2
877.7,859.6
873.4,864.1
876.2,866.7
876.1,866.9
874.6,870
872.8,868
872.9,866.9
872.7,866.4
869.5,864.1
863.8,860.9
862.7,860.7
863,863.8
865.8,867.2
861.9,869.6
862.1,869.7
863.7,873.9
858.5,866.4
852.3,860.4
847,863
841.7,861.1
838.3,858
844.1,854.6
844.6,853.6
844.7,851.4
845.1,849.6
845.6,844.9
848.8,843.6
844.3,843.1
845.6,842.2
846.9,838.9
840.2,831.5
838.5,845.2
839.7,852.1
839.4,853.1
837,853.8
834.7,852.6
834.3,852.3
832.7,850.4
834.4,849.1
831.5,848
825.2,842
826.9,848.4
825.7,849.7
824.5,852
823.4,851.6
822.5,848.3
820,849.5
820.3,856
821.1,860.3
819.9,861.2
819.4,861.6
817.4,861.4
814.7,862.2
814.7,864.7
813.9,863
807.2,859.6
806.2,852.7
809.1,850.3
810.1,850.2
808.8,846
807.2,842.1
805,841
805.5,840.4
807.2,836.8
806.1,835
808.3,834.2
809,834.9
812,840.2
815.3,843.5
811.8,837.5
812.3,834.4
817,832.2
820.5,833.1
819.7,838.1
823,834.5
825.6,833.1
830.6,833.4
826.6,825.4
826.8,823.8
823.5,824.4
820.9,827.2
820.8,821.1
823.2,820.1
823,818.8
821.7,817.1
819.5,816.9
824.3,809.7
822.7,808.8
823,808.2
821.5,805
821.6,800.4
818.3,803.4
818.2,805.7
813.6,805.9
811.8,805.4
806.8,809.7
806.1,808.3
800.9,807.7
801.8,809
802.6,809.9
803.4,816.4
810.9,814
815.6,813.1
814.1,816.5
812.2,819.9
811.7,826.8
808,826.1
804.6,831.1
802.9,836.5
798.7,833
800.1,829.2
800.3,828.9
798.9,828
802,827.1
797.4,819.8
796,820.1
794.8,822.5
796.7,835.3
792.3,849.5
792.7,849.8
800,847.8
801.8,850.4
797.4,852.9
797.2,854.1
798.6,855.3
799.9,855.6
799,856.1
799.2,860.1
798.7,859.7
791.1,855.2
788.9,856.5
785.9,853.7
788.7,850.5
790.1,848.9
784.7,849.6
783.9,849.8
784.7,845.7
777,847.7
778.8,846.3
782.9,840.8
786.6,843.9
790.1,842.8
791,842.5
790.8,836.4
787.6,833.9
787.1,831.1
781.6,828.4
779.6,832.5
780.4,834.4
780.3,836.5
776,830.7
775.1,827.1
774.8,830.9
772.4,835.3
771.4,836.1
769.1,832.3
769.5,827.1
769.5,826.3
767.9,824.4
761.4,825.1
758.6,831.4
757.2,830.8
752.3,835
748.5,835.5
752,839.8
749.6,842.7
748.7,843.3
744.8,839.7
743,838.8
741.3,835.9
741.4,829.8
747.6,831.3
749.1,831
752.4,830.5
754.9,827.6
750.6,824
747.7,820
751.8,816.4
760.6,815.8
770.4,814.7
775.8,821.7
780,819.2
784.5,816.4
786.5,825.1
788.6,826.4
788.9,824.8
788.8,821.5
790.7,815.8
798.2,807.4
799.8,803.3
793,799.4
790.5,801
787.4,799.1
788.2,805.8
786.5,807.2
786.7,807.7
788.7,809.6
786.4,814.5
783.3,811
779.8,806.7
779,802.5
784,797.5
785,796.6
785.8,797.1
790.7,792.6
783.4,786.6
778.7,782.8
775.6,780
778,787.8
769,791.5
766.4,791
768.9,786.6
767.1,779
768.9,775.6
769.3,775.7
770.3,773.8
765.6,767.5
763.2,769.6
756.5,772.7
761.7,775.2
762.9,775.6
761.9,782
763.3,783.6
763.2,784.5
763.4,785.3
762.3,787.7
761.4,789.9
758,787.5
758.1,780.5
754.2,775.5
752.7,774.6
750.6,771.5
748.5,771.3
749.2,767.1
749,764
748.9,761.6
748.3,758.9
747.4,755.1
745.7,754.1
744.8,751.7
749.5,750.1
751.9,744.5
748.9,741.6
748.6,738.1
750.2,737.1
757.9,748.9
758.4,750.8
756,753.4
756.8,754.4
759.4,755.6
756.9,759.2
758.6,762.6
760.8,764.5
768.3,766.7
770.9,767.9
772.6,768
772.5,771.4
775.8,772.3
778.4,775.3
779.8,778.2
780.3,772.9
783.6,774
789.3,776.1
789.5,778.2
791.4,779.9
789.9,781
787.3,782.5
789.5,785.2
791.4,781.8
792.6,779.8
797.2,779.1
799.8,783.8
803,783.9
802.6,786
804.6,788.3
807.5,786.5
807.4,785
806.4,779.3
810,773.9
806.6,773.9
802.2,772.8
799,772.8
798.8,772.7
798.6,772.6
802.9,770.6
806.6,770.1
812.7,767.8
808.5,763.1
805.5,763.3
802.4,763.4
793.4,762.5
790.5,769.8
790.6,772.7
787.9,770.2
784.7,768.3
783.8,766
783.8,765.6
781.7,767.1
777.4,760.2
779.3,754.9
782.2,754.7
784.5,753.5
787.2,751.1
791.2,752.1
790.5,754.9
796.7,756.4
796.8,754.9
800.7,753.6
798.9,752.1
796.1,749.4
795.5,747.6
794.9,746.7
795.1,744.2
796,743.8
798.1,739.4
800.6,744
803.6,744
805.3,742.5
804.7,744.4
802,745.8
803.7,748.4
801.4,750.5
804.9,755
806.5,753.1
809.4,752.6
809.7,754.2
813.3,753.7
813.6,757.4
813.2,760.6
823.2,755.3
825.3,753.2
825,759.3
825.5,763.8
823.4,767.6
819.7,772.4
816.4,771.6
812.9,776.9
815.9,779.7
820.1,781.5
820.5,784.9
822.1,785.3
819.4,787.5
816.2,785.9
814.9,789.1
813.5,792
806.5,793.6
805,792.2
802.9,795.7
806.5,796.4
808.6,797
814.1,799.8
815,797.7
815.3,797.1
816.5,796.5
820.9,796.4
819.8,791.9
824,794
825.4,799.8
834.1,805.3
837.4,805.1
839.3,802.5
835.2,800.5
836.1,799
838.1,798
838,796.6
838,796.2
839,795.6
838.6,794.7
838.1,792.8
837,793.4
836.2,792.4
831.3,793.1
827.5,790.2
823.3,787.7
823.6,786.7
827.9,784.2
827.8,781.5
826.8,781.3
826.4,776.7
826.9,775.4
832.6,772.4
829.4,768.1
828.1,759.5
830.2,760.1
833.4,761.9
840.5,764.1
841.1,772.3
842.9,775.8
845.3,771.5
845.6,769.7
849.9,770.4
859.6,768.3
866,768.7
862.7,762.6
864.8,762.1
865.6,758.2
859.6,756.1
